"","NAME","Median Family Income","Total Population","Year","State"
"353","South Carolina",58158,4697622,2016,"SC"
"354","South Dakota",66825,817052,2016,"SD"
"355","Tennessee",57747,6394154,2016,"TN"
"356","Texas",64585,26355323,2016,"TX"
"357","Utah",71058,2902703,2016,"UT"
"358","Vermont",71465,600847,2016,"VT"
"359","Virginia",80068,8068036,2016,"VA"
"360","Washington",76507,6931677,2016,"WA"
"361","West Virginia",54409,1797297,2016,"WV"
"362","Wisconsin",69925,5606463,2016,"WI"
"363","Wyoming",73654,568798,2016,"WY"
"364","Puerto Rico",23417,3490160,2016,NA
"365","Alabama",59115,4731852,2017,"AL"
"366","Alaska",88949,710743,2017,"AK"
"367","Arizona",63812,6656124,2017,"AZ"
"368","Arkansas",54923,2894098,2017,"AR"
"369","California",76975,38168482,2017,"CA"
"370","Colorado",80654,5318396,2017,"CO"
"371","Connecticut",93800,3478451,2017,"CT"
"372","Delaware",76346,918625,2017,"DE"
"373","District of Columbia",95995,632449,2017,NA
"374","Florida",61442,19847798,2017,"FL"
"375","Georgia",64053,9943137,2017,"GA"
"376","Hawaii",87024,1377486,2017,"HI"
"377","Idaho",62196,1627495,2017,"ID"
"378","Illinois",76533,12553961,2017,"IL"
"379","Indiana",65227,6425770,2017,"IN"
"380","Iowa",72270,3017668,2017,"IA"
"381","Kansas",70711,2823480,2017,"KS"
"382","Kentucky",59003,4293245,2017,"KY"
"383","Louisiana",60064,4534218,2017,"LA"
"384","Maine",67340,1294208,2017,"ME"
"385","Maryland",95597,5855584,2017,"MD"
"386","Massachusetts",94110,6538591,2017,"MA"
"387","Michigan",66653,9695870,2017,"MI"
"388","Minnesota",82785,5357190,2017,"MN"
"389","Mississippi",52689,2892138,2017,"MS"
"390","Missouri",64776,5900263,2017,"MO"
"391","Montana",65843,1001023,2017,"MT"
"392","Nebraska",72191,1841687,2017,"NE"
"393","Nevada",65469,2850083,2017,"NV"
"394","New Hampshire",86949,1289641,2017,"NH"
"395","New Jersey",94337,8774359,2017,"NJ"
"396","New Mexico",57436,2041820,2017,"NM"
"397","New York",77141,19220855,2017,"NY"
"398","North Carolina",62195,9784981,2017,"NC"
"399","North Dakota",80091,719063,2017,"ND"
"400","Ohio",66885,11296980,2017,"OH"
"401","Oklahoma",61541,3786725,2017,"OK"
"402","Oregon",69031,3936874,2017,"OR"
"403","Pennsylvania",72692,12363237,2017,"PA"
"404","Rhode Island",79043,1014551,2017,"RI"
"405","South Carolina",60643,4756406,2017,"SC"
"406","South Dakota",69425,821456,2017,"SD"
"407","Tennessee",60217,6443385,2017,"TN"
"408","Texas",67344,26815013,2017,"TX"
"409","Utah",74287,2947466,2017,"UT"
"410","Vermont",74068,599387,2017,"VT"
"411","Virginia",83164,8123404,2017,"VA"
"412","Washington",80233,7027628,2017,"WA"
"413","West Virginia",55949,1788621,2017,"WV"
"414","Wisconsin",72542,5615789,2017,"WI"
"415","Wyoming",75602,569009,2017,"WY"
"416","Puerto Rico",23793,3429847,2017,NA
"417","Alabama",62030,4745881,2018,"AL"
"418","Alaska",90284,711117,2018,"AK"
"419","Arizona",66988,6790680,2018,"AZ"
"420","Arkansas",57065,2906459,2018,"AR"
"421","California",81416,38329281,2018,"CA"
"422","Colorado",84540,5411306,2018,"CO"
"423","Connecticut",97310,3466662,2018,"CT"
"424","Delaware",79814,924444,2018,"DE"
"425","District of Columbia",105029,644878,2018,NA
"426","Florida",64312,20166501,2018,"FL"
"427","Georgia",67405,10037150,2018,"GA"
"428","Hawaii",90935,1377998,2018,"HI"
"429","Idaho",64723,1657779,2018,"ID"
"430","Illinois",79747,12523597,2018,"IL"
"431","Indiana",68054,6449747,2018,"IN"
"432","Iowa",74794,3032415,2018,"IA"
"433","Kansas",73222,2828708,2018,"KS"
"434","Kentucky",61059,4309065,2018,"KY"
"435","Louisiana",61785,4534221,2018,"LA"
"436","Maine",70370,1296802,2018,"ME"
"437","Maryland",99403,5862883,2018,"MD"
"438","Massachusetts",98625,6579553,2018,"MA"
"439","Michigan",69691,9728101,2018,"MI"
"440","Minnesota",86204,5394498,2018,"MN"
"441","Mississippi",54933,2892341,2018,"MS"
"442","Missouri",67612,5915004,2018,"MO"
"443","Montana",68139,1012863,2018,"MT"
"444","Nebraska",75123,1852809,2018,"NE"
"445","Nevada",68700,2885149,2018,"NV"
"446","New Hampshire",91245,1301042,2018,"NH"
"447","New Jersey",98047,8697059,2018,"NJ"
"448","New Mexico",59175,2049476,2018,"NM"
"449","New York",80419,19043605,2018,"NY"
"450","North Carolina",65097,9882910,2018,"NC"
"451","North Dakota",83272,726653,2018,"ND"
"452","Ohio",69837,11327784,2018,"OH"
"453","Oklahoma",63574,3808014,2018,"OK"
"454","Oregon",72823,3993967,2018,"OR"
"455","Pennsylvania",75477,12366049,2018,"PA"
"456","Rhode Island",81822,1014869,2018,"RI"
"457","South Carolina",63437,4819128,2018,"SC"
"458","South Dakota",72706,830281,2018,"SD"
"459","Tennessee",63096,6496195,2018,"TN"
"460","Texas",70423,27285450,2018,"TX"
"461","Utah",77732,2998673,2018,"UT"
"462","Vermont",77193,599602,2018,"VT"
"463","Virginia",86628,8169581,2018,"VA"
"464","Washington",84182,7151776,2018,"WA"
"465","West Virginia",57598,1781035,2018,"WV"
"466","Wisconsin",75313,5631740,2018,"WI"
"467","Wyoming",77480,567639,2018,"WY"
"468","Puerto Rico",24391,3349697,2018,NA
"469","Alabama",64430,4758473,2019,"AL"
"470","Alaska",92588,709974,2019,"AK"
"471","Arizona",70184,6892175,2019,"AZ"
"472","Arkansas",59455,2915019,2019,"AR"
"473","California",85837,38462235,2019,"CA"
"474","Colorado",88931,5490688,2019,"CO"
"475","Connecticut",100418,3461890,2019,"CT"
"476","Delaware",83127,932280,2019,"DE"
"477","District of Columbia",113561,653564,2019,NA
"478","Florida",67414,20470021,2019,"FL"
"479","Georgia",70851,10143245,2019,"GA"
"480","Hawaii",94982,1378496,2019,"HI"
"481","Idaho",67762,1687594,2019,"ID"
